spark.executor.cores,spark.executor.memory,spark.default.parallelism,spark.serializer,spark.task.cpus,executorDeserializeTime,executorDeserializeCpuTime,executorRunTime,resultSize,jvmGcTime,Execution_Time
3,12,16,0,1,376.415,49200716.594999984,811.3599999999999,1122.9,149.25,41562
5,3,37,1,2,342.4075,46664024.8925,753.0899999999997,1309.1925,167.11499999999967,47097
5,11,44,1,2,330.4825,48996098.15499999,737.665,1307.9975,110.95499999999996,48147
4,4,13,1,2,337.105,52733073.7775,700.5999999999998,1311.9074999999998,154.0349999999998,47876
2,4,40,0,2,1073.9025,115924603.335,753.4599999999997,1130.3825,149.84749999999963,55756
6,10,29,0,2,352.42,55918430.282499954,1453.0524999999998,1128.4375,265.22749999999985,52206
6,7,44,1,2,340.2825,52613339.10499998,1461.6625,1307.6074999999998,241.86249999999995,56411
2,1,9,1,1,849.6974999999996,103530434.38749988,10995.91749999999,1355.1349999999998,348.87249999999983,324071
7,7,22,0,1,321.39,53221205.84999997,4009.315,1143.59,282.0799999999999,99400
1,3,20,0,1,1327.19,140946158.98999998,1615.672499999998,1141.915,180.31249999999963,134104
7,12,35,1,2,337.935,48692254.59749998,2011.8474999999996,1307.0025,255.53,68258
4,8,9,1,2,280.925,52342927.35999999,16882.265,1335.8524999999995,260.8449999999997,478569
7,11,49,1,1,361.4449999999999,44227771.50499998,1078.2925,1311.86,272.7374999999999,33025
2,11,8,0,1,374.375,59869690.12749996,740.1099999999999,1169.1925,132.2024999999998,47451
3,9,44,0,1,366.7925,57833369.42249998,895.5024999999998,1138.2075,230.46249999999995,41339
4,11,15,0,2,362.685,61487639.28749998,754.8074999999998,1131.8125,135.5699999999998,52816
5,2,35,0,1,363.4675,42556129.87499999,1170.7274999999995,1147.8175,286.35,81242
2,5,10,0,2,741.1324999999999,99243335.09249993,749.2899999999997,1132.21,75.04249999999989,58393
4,11,17,0,2,384.9299999999999,60654126.93249997,692.53,1128.78,133.6224999999999,46868
3,1,29,0,1,692.5,73912739.84499995,5307.224999999999,1140.1075,584.3724999999998,206034
6,7,29,1,1,270.88,51436488.48999997,1580.91,1305.0,306.2,44320
7,1,25,0,2,459.34,58912304.33749992,18713.0225,1146.3775,1467.7674999999997,645064
5,4,15,0,2,408.8749999999999,62749717.61249999,681.0324999999998,1127.6325000000002,131.7799999999998,46614
5,6,31,0,1,358.65,61877619.69499999,1125.4275,1138.7775,235.30249999999987,38923
6,3,31,0,1,386.17,51115836.79999999,1084.4225,1148.6425,243.605,34415
6,11,16,1,1,1087.8199999999986,46805528.28999998,1846.07,1301.72,444.3349999999999,53787
7,6,50,1,1,352.24249999999995,49312042.377499975,1263.8075,1311.0725,263.8,37495
5,11,48,0,2,363.0175,60886351.88749999,758.1374999999997,1127.52,161.7674999999997,49637
7,6,36,0,2,386.725,53758100.91999994,819.9974999999998,1134.96,180.9,40881
1,3,13,0,1,1392.9275000000002,139103925.50499997,1137.5375,1135.155,189.89249999999987,62574
6,2,33,1,1,344.5575,42899251.87499999,1085.605,1316.5825,209.75,33002
3,3,37,1,1,680.5600000000001,73565513.89249995,1128.3925,1314.3125,171.75499999999994,41581
5,8,21,0,2,359.05249999999995,56322072.95999998,766.6999999999998,1131.735,149.74499999999983,48029
4,3,23,1,1,367.5125,46772078.9675,938.145,1310.415,195.915,46024
2,8,50,0,1,369.9575,59139741.44,675.5474999999998,1136.8024999999998,138.9924999999997,46616
2,3,30,1,1,963.855,89656506.93999998,1300.8099999999993,1313.06,214.28749999999985,52611
3,12,49,1,1,321.365,49558866.61999998,1786.6124999999995,1309.7824999999998,295.5974999999999,58207
5,2,42,0,1,346.08250000000004,59210000.92999995,2049.3925,1154.025,252.39,57955
3,11,10,1,1,291.895,50298136.72249999,3670.5925,1299.2025,234.15500000000003,159483
1,5,13,1,1,669.6499999999999,82172905.87999995,1844.4099999999917,1308.7599999999998,87.40499999999994,130772
3,4,13,1,2,714.8974999999999,82484040.72249995,694.7249999999999,1308.8275,83.78499999999987,58985
